,Date,AC.MX,ALFAA.MX,ALSEA.MX,AMXL.MX,ASURB.MX,BBAJIOO.MX,BIMBOA.MX,BOLSAA.MX,CEMEXCPO.MX,CUERVO.MX,ELEKTRA.MX,FEMSAUBD.MX,GAPB.MX,GCARSOA1.MX,GFINBURO.MX,GFNORTEO.MX,GMEXICOB.MX,GRUMAB.MX,KIMBERA.MX,KOFUBL.MX,LABB.MX,LIVEPOLC-1.MX,MEGACPO.MX,MXN=X,OMAB.MX,ORBIA.MX,PE&OLES.MX,PINFRA.MX,TLEVISACPO.MX,WALMEX.MX
0,2020-01-31,107.12000274658203,14.1899995803833,45.82500076293945,15.694999694824219,363.1499938964844,31.204999923706055,33.80500030517578,43.439998626708984,7.59499979019165,34.900001525878906,1382.75,170.2550048828125,233.85499572753906,67.9800033569336,21.424999237060547,116.12999725341797,50.21500015258789,200.7949981689453,39.060001373291016,115.18000030517578,22.350000381469727,99.71499633789062,70.68000030517578,18.780799865722656,143.7550048828125,44.40999984741211,197.33999633789062,204.11500549316406,41.96500015258789,55.220001220703125
1,2020-02-04,108.87999725341797,14.180000305175781,45.849998474121094,15.989999771118164,365.79998779296875,31.315000534057617,34.28499984741211,43.349998474121094,7.945000171661377,35.91999816894531,1380.1500244140625,174.26499938964844,238.96499633789062,69.17500305175781,22.600000381469727,116.3550033569336,54.08000183105469,204.21499633789062,38.970001220703125,117.44999694824219,22.450000762939453,98.18499755859375,71.04499816894531,18.81439971923828,144.49000549316406,46.755001068115234,199.92999267578125,204.39500427246094,42.31999969482422,56.625
2,2020-02-05,107.47000122070312,14.039999961853027,46.2400016784668,15.890000343322754,372.70001220703125,31.200000762939453,33.97999954223633,42.84000015258789,7.75,35.83000183105469,1376.22998046875,175.5399932861328,240.22000122070312,66.75,22.239999771118164,116.06999969482422,53.33000183105469,203.3699951171875,38.880001068115234,118.0199966430664,22.110000610351562,96.5199966430664,72.87999725341797,18.671289443969727,144.0500030517578,46.869998931884766,196.19000244140625,202.75999450683594,40.95000076293945,56.119998931884766
3,2020-02-06,107.62000274658203,13.65999984741211,46.099998474121094,15.680000305175781,369.6700134277344,31.1299991607666,33.130001068115234,43.27000045776367,7.75,34.63999938964844,1364.0,175.8800048828125,240.02000427246094,65.80000305175781,21.399999618530273,116.16000366210938,52.400001525878906,203.0,38.95000076293945,119.0,21.899999618530273,93.81999969482422,70.7300033569336,18.587600708007812,145.02000427246094,46.470001220703125,193.05999755859375,204.0800018310547,40.369998931884766,55.209999084472656
4,2020-02-07,107.61000061035156,13.359999656677246,45.20000076293945,15.640000343322754,366.7699890136719,30.739999771118164,33.16999816894531,43.0099983215332,7.789999961853027,33.81999969482422,1390.989990234375,176.24000549316406,242.0,65.95999908447266,22.040000915527344,113.98999786376953,51.84000015258789,204.0,38.59000015258789,120.29000091552734,20.959999084472656,94.0,71.94999694824219,18.639699935913086,144.05999755859375,46.11000061035156,193.1999969482422,202.6699981689453,40.029998779296875,56.0
5,2020-02-10,107.20500183105469,13.470000267028809,45.400001525878906,15.390000343322754,368.3500061035156,30.610000610351562,32.974998474121094,43.63999938964844,7.735000133514404,34.3650016784668,1403.0699462890625,176.47999572753906,239.11000061035156,66.29499816894531,22.260000228881836,114.12999725341797,52.07500076293945,203.39500427246094,38.54499816894531,120.09500122070312,20.850000381469727,93.92500305175781,72.73999786376953,18.800249099731445,144.2100067138672,45.7400016784668,193.6300048828125,201.93499755859375,39.904998779296875,56.23500061035156
6,2020-02-11,107.58000183105469,14.010000228881836,45.77000045776367,15.729999542236328,381.1499938964844,30.780000686645508,33.849998474121094,43.0,8.050000190734863,34.119998931884766,1402.5,178.86000061035156,246.55999755859375,69.0,22.68000030517578,115.33000183105469,52.5099983215332,203.60000610351562,41.0,120.98999786376953,20.799999237060547,94.5,71.01000213623047,18.702699661254883,149.02999877929688,45.63999938964844,196.14999389648438,205.3800048828125,41.439998626708984,56.2599983215332
7,2020-02-12,106.04000091552734,14.0,46.060001373291016,16.610000610351562,375.07000732421875,31.100000381469727,34.08000183105469,43.13999938964844,7.650000095367432,34.27000045776367,1392.6500244140625,178.1199951171875,242.8699951171875,69.61000061035156,23.149999618530273,116.79000091552734,51.38999938964844,206.41000366210938,39.9900016784668,120.22000122070312,21.290000915527344,96.0,72.01000213623047,18.642000198364258,151.1999969482422,45.54999923706055,195.0,203.47000122070312,42.400001525878906,56.25
8,2020-02-13,104.98999786376953,13.199999809265137,45.900001525878906,16.639999389648438,365.739990234375,30.690000534057617,33.7400016784668,43.630001068115234,7.28000020980835,33.849998474121094,1388.6099853515625,177.3699951171875,240.80999755859375,66.75,23.229999542236328,116.02999877929688,51.4900016784668,203.42999267578125,39.08000183105469,118.93000030517578,21.770000457763672,95.5199966430664,73.70999908447266,18.640399932861328,152.97000122070312,44.33000183105469,192.39999389648438,202.61000061035156,41.56999969482422,57.27000045776367
9,2020-02-14,110.77999877929688,12.380000114440918,45.88999938964844,16.639999389648438,369.0899963378906,30.399999618530273,32.93000030517578,43.849998474121094,7.150000095367432,33.41999816894531,1392.7900390625,176.77999877929688,241.58999633789062,66.45999908447266,23.190000534057617,114.95999908447266,52.130001068115234,204.77999877929688,39.36000061035156,119.76000213623047,21.739999771118164,93.66000366210938,72.2300033569336,18.59510040283203,150.0500030517578,45.04999923706055,194.61000061035156,204.02999877929688,41.63999938964844,58.18000030517578
